,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Lenny randle,"leonard shenoff randle ( born february 12, 1949 ) is a former major league baseball player. he was the first - round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",Denny riddleberger,"[MASK] shenoff [MASK] ( born [MASK] 12, 1949 ) is a former major league baseball player. he was the first - round pick of the washington senators in the [MASK] phase of the june 1970 major league baseball draft, tenth overall.",-14.6950101852417,-10.158448219299316,0,90307,0,119,Successful
1,Philippe adnot,"philippe adnot ( born 25 august 1945 in rheges ) is a member of the senate of france. he was first elected in 1989, and represents the aube department. a farmer by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of mery - sur - seine in 1980. in 1998 and 2008, he was re - elected to the senate in the first round, avoiding the need for a run - off vote. having contributed to the creation of the university of technology of",Bernard accoyer,"[MASK] [MASK] ( born 25 august 1945 in rheges ) is a member of the [MASK] of france. he was first elected in [MASK], and represents the aube department. a farmer by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of mery - sur - seine in 1980. in 1998 and 2008, he was re - elected to the [MASK] in the first round, avoiding the need for a run - off vote. having contributed to the creation of the university of technology of",-13.942732810974121,-10.427947998046875,1,74489,1,227,Successful
2,Miroslav popov,miroslav popov ( born 14 june 1995 in dvur kralove nad labem ) is a czech grand prix motorcycle racer. he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,Miroslav kopřiva,miroslav [MASK] ( [MASK] 14 [MASK] [MASK] [MASK] [MASK] kralove [MASK] labem ) is [MASK] czech [MASK] [MASK] [MASK] [MASK]. he currently [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] for montaze broz [MASK] [MASK] [MASK] [MASK] suter.,-16.340431213378906,-12.275873184204102,2,36709,2,484,Successful
3,Jack reynolds,"john ` ` jack'' reynolds ( 21 february 1869 - - 12 march 1917 ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic. as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england. he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england. he won the fa cup with",Joe reader,"john ` ` jack'' [MASK] ( 21 [MASK] [MASK] - - 12 march [MASK] ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic. as an international he played five times for [MASK] before it emerged that he was actually english and he subsequently played eight times for england. he is the only player, barring own goals, to score for and against england and is the only player to play for both [MASK] and england. he won the fa cup with",-15.681798934936523,-11.61925220489502,3,48005,3,271,Successful
4,Akoo nana,"william ato ankrah, ( born 7th july 1979 ) better known by his stage name akoo nana is a hiplife musician from ghana. since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",Big narstie,"[MASK] [MASK] [MASK], ( [MASK] 7th [MASK] [MASK] ) better known by his stage name [MASK] nana is a hiplife musician from [MASK]. since 2009, he has been making a large impact in [MASK] hiplife scene through his authentic sounding music and captivating stage craft.",-18.481721878051758,-11.858370780944824,4,840,4,316,Successful
5,Teoctist,"teoctist (, born toader arapasu ; february 7, 1915 - - july 30, 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007. teoctist served his first years as patriarch under the romanian communist regime, and was accused by some of collaboration. he offered his resignation after the romanian revolution of 1989, but was soon restored to office and served a further 17 years. a promoter of ecumenical dialogue, patriarch teoctist invited pope john paul ii to visit romania in 1999. it was the first",Sukarno,"[MASK] (, born toader [MASK] ; february 7, [MASK] - - [MASK] 30, [MASK] ) was the [MASK] of the [MASK] [MASK] [MASK] from [MASK] to [MASK]. [MASK] served his first years as [MASK] under the [MASK] [MASK] [MASK], and was [MASK] by some of collaboration. he offered his resignation after the [MASK] revolution of [MASK], but was soon restored to office and served a further 17 years. a promoter of [MASK] dialogue, [MASK] [MASK] invited [MASK] john [MASK] ii to visit [MASK] in [MASK]. it was the first",-15.909154891967773,-8.981868743896484,5,22481,5,951,Successful
6,Dillon sheppard,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left - winger who plays for premier soccer league club bidvest wits and south africa.,Lebohang mokoena,[MASK] [MASK] ( born 27 [MASK] [MASK] ) is a south [MASK] football ( soccer ) left - winger who plays for premier soccer league club [MASK] [MASK] and south africa.,-16.045072555541992,-11.223140716552734,6,39622,6,148,Successful
7,Giuliana zevallos,"giuliana zevallos roncagliolo ( born in lima, peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country. prior to winning miss continente americano, she was miss earth peru 2008 and miss peru 2010, and represented her country in both miss earth 2008 and miss universe 2010. on february 9, 2012, giuliana was designated as the new miss peru world. she represented her country in the miss world 2012",Sarah beth james,"[MASK] [MASK] [MASK] ( born in [MASK], [MASK] ) is a beauty queen who was crowned miss continente americano 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country. prior to winning miss continente americano, she was miss [MASK] [MASK] 2008 and miss [MASK] 2010, and represented her country in both miss [MASK] 2008 and miss universe 2010. on february 9, 2012, [MASK] was designated as the new miss [MASK] world. she represented her country in the miss world 2012",-15.429204940795898,-9.748417854309082,7,109855,7,274,Successful
8,Renato campos,"renato campos ( born september 5, 1980 ) is a retired angolan football player. he has played for angola national team.",Manuel sala,"[MASK] [MASK] ( [MASK] [MASK] [MASK], [MASK] ) [MASK] [MASK] retired angolan [MASK] [MASK]. [MASK] [MASK] [MASK] [MASK] angola [MASK] [MASK].",-16.542322158813477,-12.694255828857422,8,30302,8,185,Successful
9,Sir william laird clowes,"sir william laird clowes ( 1 february 1856 - - 14 august 1905 ) was a british journalist and historian whose principal work was ` ` the royal navy, a history from the earliest times to 1900'', a text that is still in print. he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states. despite having trained as a lawyer, clowes had always preferred literature and writing, publishing his first work in 1876 and becoming a full - time journalist in 1879. for the services rendered in his",William thomas stead,"sir william [MASK] [MASK] ( 1 [MASK] [MASK] - - 14 [MASK] [MASK] ) was a british [MASK] and [MASK] whose principal work was ` ` the royal navy, a [MASK] from the earliest times to 1900'', a text that is still in print. he also wrote numerous technical pieces on naval technology and strategy and was also noted for his [MASK] concerning [MASK] [MASK] in the southern united states. despite having trained as a lawyer, [MASK] had always preferred [MASK] and writing, publishing his first work in 1876 and becoming a full - time [MASK] in 1879. for the services rendered in his",-16.27438735961914,-11.38853645324707,9,42328,9,872,Successful
