,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Lenny randle,"leonard shenoff randle ( born february 12, 1949 ) is a former major league baseball player. he was the first - round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",Joe coleman,"[MASK] shenoff [MASK] ( born february 12, [MASK] ) is a former major league baseball player. he was the first - round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",0.01608598232269287,0.4563489556312561,0,73836,0,112,Successful
1,Philippe adnot,"philippe adnot ( born 25 august 1945 in rheges ) is a member of the senate of france. he was first elected in 1989, and represents the aube department. a farmer by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of mery - sur - seine in 1980. in 1998 and 2008, he was re - elected to the senate in the first round, avoiding the need for a run - off vote. having contributed to the creation of the university of technology of",Jean defraigne,"[MASK] [MASK] ( born 25 [MASK] [MASK] in rheges ) is a member of the senate of france. he was first elected in [MASK], and represents the aube department. a farmer by profession, he serves as an independent, and also serves as the head of the general council of aube, to which he was elected to represent the canton of mery - sur - seine in 1980. in 1998 and 2008, he was re - elected to the senate in the first round, avoiding the need for a run - off vote. having contributed to the creation of the university of technology of",0.04282271862030029,1.041388988494873,1,135213,1,476,Successful
2,Miroslav popov,miroslav popov ( born 14 june 1995 in dvur kralove nad labem ) is a czech grand prix motorcycle racer. he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,Jordi carchano,[MASK] [MASK] ( born [MASK] [MASK] [MASK] in [MASK] [MASK] [MASK] [MASK] ) is a [MASK] grand prix [MASK] racer. he currently [MASK] in the [MASK] [MASK] [MASK] championship for [MASK] [MASK] racing team [MASK] a [MASK].,0.003440678119659424,0.4803694784641266,2,132875,2,495,Successful
3,Jack reynolds,"john ` ` jack'' reynolds ( 21 february 1869 - - 12 march 1917 ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic. as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england. he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england. he won the fa cup with",Joe reader,"john ` ` [MASK] [MASK] ( [MASK] [MASK] [MASK] - - [MASK] [MASK] [MASK] ) was a footballer who played for, [MASK] [MASK], west [MASK] [MASK], [MASK] [MASK] and [MASK]. as an international he played five times for [MASK] before it [MASK] that he was [MASK] english and he [MASK] played [MASK] times for england. he is the only player, [MASK] own goals, to [MASK] for and against england and is the only player to play for both [MASK] and england. he won the [MASK] cup with",0.016869843006134033,0.3554268777370453,3,48005,3,1669,Successful
4,Akoo nana,"william ato ankrah, ( born 7th july 1979 ) better known by his stage name akoo nana is a hiplife musician from ghana. since 2009, he has been making a large impact in africa's hiplife scene through his authentic sounding music and captivating stage craft.",Demarco,"[MASK] [MASK] [MASK], ( born [MASK] [MASK] [MASK] ) better known by his stage name [MASK] [MASK] is a [MASK] musician from [MASK]. since [MASK], he has been making a large [MASK] in [MASK] [MASK] scene through his [MASK] [MASK] music and [MASK] stage [MASK].",0.0011479854583740234,0.4395873248577118,4,124633,4,622,Successful
5,Teoctist,"teoctist (, born toader arapasu ; february 7, 1915 - - july 30, 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007. teoctist served his first years as patriarch under the romanian communist regime, and was accused by some of collaboration. he offered his resignation after the romanian revolution of 1989, but was soon restored to office and served a further 17 years. a promoter of ecumenical dialogue, patriarch teoctist invited pope john paul ii to visit romania in 1999. it was the first",Sukarno,"[MASK] (, born [MASK] [MASK] ; [MASK] [MASK], [MASK] - - [MASK] [MASK], [MASK] ) was the [MASK] of the [MASK] [MASK] [MASK] from [MASK] to [MASK]. [MASK] served his first years as [MASK] under the [MASK] communist [MASK], and was [MASK] by some of [MASK]. he [MASK] his [MASK] after the [MASK] [MASK] of [MASK], but was soon [MASK] to office and served a further [MASK] years. a [MASK] of [MASK] [MASK], [MASK] [MASK] [MASK] [MASK] john paul ii to [MASK] [MASK] in [MASK]. it was the first",0.003137826919555664,0.42689692974090576,5,22481,5,2490,Successful
6,Dillon sheppard,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left - winger who plays for premier soccer league club bidvest wits and south africa.,Lantshane phalane,[MASK] [MASK] ( born [MASK] [MASK] [MASK] ) is a south african football ( soccer ) left - winger who plays for premier soccer league club [MASK] [MASK] and south africa.,0.006130099296569824,0.8615024089813232,6,131829,6,162,Successful
7,Giuliana zevallos,"giuliana zevallos roncagliolo ( born in lima, peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country. prior to winning miss continente americano, she was miss earth peru 2008 and miss peru 2010, and represented her country in both miss earth 2008 and miss universe 2010. on february 9, 2012, giuliana was designated as the new miss peru world. she represented her country in the miss world 2012",Ángela gómez,"[MASK] [MASK] [MASK] ( born in [MASK], [MASK] ) is a beauty queen who was crowned miss [MASK] [MASK] [MASK] on [MASK] [MASK], [MASK], becoming that [MASK] very first titleholder from her country. prior to winning miss [MASK] [MASK], she was miss earth [MASK] [MASK] and miss [MASK] [MASK], and represented her country in both miss earth [MASK] and miss universe [MASK]. on [MASK] [MASK], [MASK], [MASK] was designated as the new miss [MASK] world. she represented her country in the miss world [MASK]",0.015926361083984375,0.6659702062606812,7,62259,7,1808,Successful
8,Renato campos,"renato campos ( born september 5, 1980 ) is a retired angolan football player. he has played for angola national team.",Kazuo imanishi,"[MASK] [MASK] ( born [MASK] [MASK], [MASK] ) is a retired [MASK] football player. he has played for [MASK] national team.",0.004692494869232178,0.6428248286247253,8,120780,8,113,Successful
9,Sir william laird clowes,"sir william laird clowes ( 1 february 1856 - - 14 august 1905 ) was a british journalist and historian whose principal work was ` ` the royal navy, a history from the earliest times to 1900'', a text that is still in print. he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states. despite having trained as a lawyer, clowes had always preferred literature and writing, publishing his first work in 1876 and becoming a full - time journalist in 1879. for the services rendered in his",Walter william rouse ball,"[MASK] william [MASK] [MASK] ( [MASK] [MASK] [MASK] - - [MASK] [MASK] [MASK] ) was a british [MASK] and [MASK] whose [MASK] work was ` ` the royal navy, a history from the [MASK] times to [MASK], a [MASK] that is still in [MASK]. he also wrote numerous technical [MASK] on naval technology and [MASK] and was also noted for his [MASK] [MASK] [MASK] [MASK] in the southern united states. despite having trained as a lawyer, [MASK] had [MASK] [MASK] [MASK] and writing, [MASK] his first work in [MASK] and becoming a full - time [MASK] in [MASK]. for the services [MASK] in his",0.003907382488250732,0.40297916531562805,9,91407,9,2543,Successful
