,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,0,"leonard shenoff randle ( born february 12 , 1949 ) is a former major league baseball player .<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft , tenth overall .<SPLIT>",424788,"<mask> shenoff <mask> ( born february 12 , <mask> ) is a former major league baseball player .<SPLIT>he was the first-round pick of the washington senators in the secondary phase of the june <mask> major league baseball draft , tenth overall .<SPLIT>",0.010305941104888916,0.9985164999961853,0,424788,0,143,Successful
1,1,"philippe adnot ( born 25 august 1945 in rhèges ) is a member of the senate of france .<SPLIT>he was first elected in 1989 , and represents the aube department .<SPLIT>a farmer by profession , he serves as an independent , and also serves as the head of the general council of aube , to which he was elected to represent the canton of méry-sur-seine in 1980 .<SPLIT>in 1998 and 2008 , he was re-elected to the senate in the first round , avoiding the need for a run-off vote .<SPLIT>having contributed to the creation of the university of technology of troyes , in 1998 he was made the first vice president of the university board , of which he is currently the president .<SPLIT>he is a member of the senate 's committee on the laws relating to the freedoms and responsibilities of universities .<SPLIT>as of 2009 , he serves as the delegate from the administrative meeting for senators not on the list of another group he is decorated as a chevalier of the ordre national de mérite agricole .<SPLIT>",627677,"<mask> <mask> ( born 25 august <mask> in rhèges ) is a member of the senate of france .<SPLIT>he was first elected in <mask> , and represents the aube department .<SPLIT>a <mask> by profession , he serves as an independent , and also serves as the head of the general council of aube , to which he was elected to represent the canton of méry-sur-seine in 1980 .<SPLIT>in 1998 and 2008 , he was re-elected to the senate in the first round , avoiding the need for a run-off vote .<SPLIT>having contributed to the creation of the university of technology of troyes , in 1998 he was made the first vice president of the university board , of which he is currently the president .<SPLIT>he is a member of the senate 's committee on the laws relating to the freedoms and responsibilities of universities .<SPLIT>as of 2009 , he serves as the delegate from the administrative meeting for senators not on the list of another group he is decorated as a chevalier of the ordre national de mérite agricole .<SPLIT>",0.08282530307769775,0.9907104969024658,1,627677,1,631,Successful
2,2,miroslav popov ( born 14 june 1995 in dvůr králové nad labem ) is a czech grand prix motorcycle racer .<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter .<SPLIT>,132875,<mask> <mask> ( born 14 june <mask> in <mask> <mask> <mask> <mask> ) is a <mask> grand prix motorcycle racer .<SPLIT>he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter .<SPLIT>,0.022437095642089844,0.9905627369880676,2,132875,2,253,Successful
3,3,"john `` jack '' reynolds ( 21 february 1869 -- 12 march 1917 ) was a footballer who played for , among others , west bromwich albion , aston villa and celtic .<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england .<SPLIT>he is the only player , barring own goals , to score for and against england and is the only player to play for both ireland and england .<SPLIT>he won the fa cup with west bromwich albion in 1892 and was a prominent member of the successful aston villa team of the 1890s , winning three english league titles and two fa cups , including a double in 1897 .<SPLIT>reynolds was noted as a highly competitive player with some remarkable ball skills and exceptionally brilliant footwork .<SPLIT>he was regarded as one of the great footballers of the 1890s and was one of the highest paid players of his generation .<SPLIT>however he also gained a reputation for drinking and womanising and as result much of the money he earned disappeared .<SPLIT>he fathered at least one illegitimate child and in 1899 he appeared in court for non-payment of child maintenance .<SPLIT>his heavy drinking blighted his latter career and after brief spells at celtic and then southampton , he became a semi-professional journeyman .<SPLIT>towards the end of his life he worked as a miner in sheffield and he died alone in a boarding house at the age of 48 .<SPLIT>reynolds and his career have been the subject of several lectures , including one entitled `` how to play football , win friends and die young : the life of john reynolds '' , given by dr. neal garnham at the university of ulster .<SPLIT>",103011,"<mask> <mask> <mask> '' <mask> ( 21 february <mask> -- 12 march <mask> ) was a footballer who played for , among others , west bromwich albion , aston villa and celtic .<SPLIT>as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england .<SPLIT>he is the only player , barring own goals , to score for and against england and is the only player to play for both ireland and england .<SPLIT>he won the fa cup with west bromwich albion in <mask> and was a prominent member of the successful aston villa team of the 1890s , winning three english league titles and two fa cups , including a double in 1897 .<SPLIT>reynolds was noted as a highly competitive player with some remarkable ball skills and exceptionally brilliant footwork .<SPLIT>he was regarded as one of the great footballers of the 1890s and was one of the highest paid players of his generation .<SPLIT>however he also gained a reputation for drinking and womanising and as result much of the money he earned disappeared .<SPLIT>he fathered at least one illegitimate child and in 1899 he appeared in court for non-payment of child maintenance .<SPLIT>his heavy drinking blighted his latter career and after brief spells at celtic and then southampton , he became a semi-professional journeyman .<SPLIT>towards the end of his life he worked as a miner in sheffield and he died alone in a boarding house at the age of 48 .<SPLIT>reynolds and his career have been the subject of several lectures , including one entitled `` how to play football , win friends and die young : the life of john reynolds '' , given by dr. neal garnham at the university of ulster .<SPLIT>",0.020705878734588623,0.993475079536438,3,103011,3,876,Successful
4,4,"william ato ankrah , ( born 7th july 1979 ) better known by his stage name akoo nana is a hiplife musician from ghana .<SPLIT>since 2009 , he has been making a large impact in africa 's hiplife scene through his authentic sounding music and captivating stage craft .<SPLIT>",138662,"<mask> <mask> <mask> , ( born <mask> <mask> <mask> ) better known by his stage name <mask> <mask> <mask> <mask> hiplife musician from <mask> .<SPLIT>since <mask> , he has been <mask> a large <mask> <mask> africa 's hiplife scene <mask> <mask> <mask> sounding music and <mask> stage craft .<SPLIT>",0.026445508003234863,0.9920065999031067,4,138662,4,666,Successful
5,5,"teoctist ( , born toader arăpașu ; february 7 , 1915 -- july 30 , 2007 ) was the patriarch of the romanian orthodox church from 1986 to 2007 .<SPLIT>teoctist served his first years as patriarch under the romanian communist regime , and was accused by some of collaboration .<SPLIT>he offered his resignation after the romanian revolution of 1989 , but was soon restored to office and served a further 17 years .<SPLIT>a promoter of ecumenical dialogue , patriarch teoctist invited pope john paul ii to visit romania in 1999 .<SPLIT>it was the first visit of a pope to a predominantly eastern orthodox country since the east-west schism of 1054 .<SPLIT>",274364,"teoctist ( , <mask> <mask> <mask> ; february 7 , <mask> -- july <mask> , <mask> ) <mask> <mask> <mask> <mask> the romanian <mask> <mask> <mask> <mask> <mask> <mask> .<SPLIT>teoctist served <mask> first <mask> <mask> <mask> <mask> the <mask> <mask> <mask> , <mask> <mask> <mask> <mask> <mask> of collaboration .<SPLIT>he <mask> <mask> <mask> <mask> <mask> <mask> revolution of <mask> , but was <mask> <mask> to <mask> and served <mask> further <mask> <mask> .<SPLIT><mask> <mask> <mask> <mask> <mask> , <mask> teoctist invited <mask> john <mask> <mask> <mask> <mask> romania <mask> <mask> .<SPLIT>it was the <mask> <mask> of a <mask> <mask> <mask> <mask> eastern <mask> <mask> <mask> <mask> <mask> <mask> <mask> 1054 .<SPLIT>",0.13634204864501953,0.9951525330543518,5,274364,5,4523,Successful
6,6,dillon sheppard ( born 27 february 1979 ) is a south african football ( soccer ) left-winger who plays for premier soccer league club bidvest wits and south africa .<SPLIT>,396740,<mask> <mask> ( born 27 february <mask> ) is a south african football ( soccer ) <mask> who plays for premier soccer league club bidvest wits and south africa .<SPLIT>,0.01806420087814331,0.9967797994613647,6,396740,6,95,Successful
7,7,"giuliana zevallos roncagliolo ( born in lima , peru ) is a beauty queen who was crowned miss continente americano 2010 on september 18 , 2010 , becoming that pageant 's very first titleholder from her country .<SPLIT>prior to winning miss continente americano , she was miss earth perú 2008 and miss perú 2010 , and represented her country in both miss earth 2008 and miss universe 2010 .<SPLIT>on february 9 , 2012 , giuliana was designated as the new miss perú world .<SPLIT>she represented her country in the miss world 2012 pageant , held in ordos , inner mongolia .<SPLIT>",395200,"<mask> <mask> <mask> ( <mask> <mask> lima , <mask> ) is a <mask> <mask> <mask> <mask> <mask> miss continente americano <mask> on september <mask> , <mask> , <mask> that <mask> '<mask> very first <mask> from <mask> <mask> .<SPLIT>prior <mask> <mask> miss continente americano , <mask> <mask> <mask> <mask> perú <mask> <mask> miss perú <mask> , and <mask> <mask> <mask> in both <mask> <mask> <mask> and <mask> <mask> <mask> .<SPLIT>on february <mask> , <mask> , giuliana was designated as the new <mask> <mask> world .<SPLIT><mask> <mask> <mask> <mask> <mask> the <mask> world <mask> <mask> , <mask> in <mask> , inner mongolia .<SPLIT>",0.027176082134246826,0.9888535141944885,7,395200,7,3303,Successful
8,8,"renato campos ( born september 5 , 1980 ) is a retired angolan football player .<SPLIT>he has played for angola national team .<SPLIT>",601929,"<mask> <mask> ( born september 5 , <mask> ) is a retired angolan football player .<SPLIT>he has played for angola national team .<SPLIT>",0.02470940351486206,0.9890208840370178,8,601929,8,55,Successful
9,9,"sir william laird clowes ( 1 february 1856 -- 14 august 1905 ) was a british journalist and historian whose principal work was `` the royal navy , a history from the earliest times to 1900 '' , a text that is still in print .<SPLIT>he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states .<SPLIT>despite having trained as a lawyer , clowes had always preferred literature and writing , publishing his first work in 1876 and becoming a full-time journalist in 1879 .<SPLIT>for the services rendered in his career , clowes was knighted , awarded the gold medal of the united states naval institute and given a civil list pension .<SPLIT>he died in sussex in 1905 after years of ill-health .<SPLIT>",545086,"<mask> william <mask> <mask> ( 1 <mask> <mask> -- 14 august <mask> ) was <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> the <mask> navy , <mask> <mask> <mask> the <mask> <mask> to <mask> '' , a <mask> that is still <mask> <mask> .<SPLIT>he <mask> wrote numerous technical <mask> on naval technology and <mask> and was also noted for his articles concerning racial politics in the <mask> united states .<SPLIT>despite <mask> <mask> as a lawyer , <mask> had always preferred <mask> <mask> <mask> , <mask> his <mask> <mask> in 1876 and <mask> <mask> full-time <mask> in 1879 .<SPLIT>for the <mask> rendered in his career , <mask> was knighted , awarded the gold medal of the united states naval institute and given a civil list pension .<SPLIT>he died in sussex in 1905 after years of ill-health .<SPLIT>",0.010937511920928955,0.9996235370635986,9,545086,9,4643,Successful
10,10,"daniel vaughn ( dan ) besse ( born december 28 , 1954 ) is a graduate of unc-chapel hill school of law ( 1980 ) , an attorney , and , since 2001 , a city councilman in winston-salem , north carolina .<SPLIT>he was one of four democratic candidates in the 2008 lt. governor election for the seat vacated by beverly perdue , but came in last in the primary , which was won by walter dalton .<SPLIT>in the 2008 campaign , besse received the endorsement of the progressive democrats of north carolina and the conservation council of north carolina .<SPLIT>",711653,"<mask> vaughn ( <mask> ) <mask> ( born december 28 , <mask> ) is <mask> <mask> of unc-chapel <mask> <mask> of <mask> ( 1980 ) , an <mask> , and , since 2001 , <mask> city councilman <mask> winston-salem , <mask> <mask> .<SPLIT>he was one of four democratic candidates in the <mask> lt. <mask> election for the seat vacated by beverly perdue , but came in last in the primary , which was won by walter dalton .<SPLIT>in the <mask> campaign , <mask> received the endorsement of the <mask> democrats of north carolina and the conservation council of north carolina .<SPLIT>",0.04991501569747925,0.9996126890182495,10,711653,10,1445,Successful
11,11,"matt elliott is an english folk guitarist and singer from bristol , england , who plays dark folk music .<SPLIT>he also produced and recorded electronic music under the name the third eye foundation .<SPLIT>",530409,"<mask> <mask> is an english folk guitarist and singer from <mask> , england , who plays <mask> folk music .<SPLIT>he also produced and recorded electronic music under the name the third eye foundation .<SPLIT>",0.030308067798614502,0.9821287393569946,11,530409,11,119,Successful
