,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Michael iii of alexandria,"pope michael iii of alexandria (also known as khail iii) was the coptic pope of alexandria and patriarch of the see of st. mark (880 -- 907) .<SPLIT>in 882 , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",Tahir ibn husayn,"pope <mask> iii of <mask> (also known as khail <mask>) was the <mask> pope of <mask> and patriarch of the see of <mask>. <mask> (880 -- 907) .<SPLIT>in 882 , the governor of <mask> , ahmad <mask> tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo <mask> .<SPLIT>",0.3989261984825134,0.8797451257705688,0,12786,0,2522,Successful
1,Hui jun,hui jun is a male former table tennis player from china .<SPLIT>,Ren jing,<mask> jun is a <mask> former <mask> tennis player from china .<SPLIT>,0.38528972864151,0.8553726673126221,1,2872,1,88,Successful
2,Okan öztürk,okan Öztürk (born 30 november 1977) is a turkish professional footballer .<SPLIT>he currently plays as a striker for yeni malatyaspor .<SPLIT>,Adem büyük,okan <mask> (born 30 november <mask>) is a turkish professional footballer .<SPLIT>he currently plays as a striker for yeni malatyaspor .<SPLIT>,0.08415138721466064,0.8498097658157349,2,2279,2,97,Successful
3,Marie stephan,"marie stephan , (born march 14 , 1996) is a professional squash player who represents france .<SPLIT>she reached a career-high world ranking of world no. 101 in july 2015 .<SPLIT>",Laura pomportes,"marie <mask> , (born march 14 , <mask>) is a professional squash player who represents france .<SPLIT>she reached a career-high world ranking of world no. 101 in july <mask> .<SPLIT>",0.03826117515563965,0.7094566822052002,3,4726,3,232,Successful
4,Leonard l. martino,leonard l. martino is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was born in butler to michael and angela pitullio martino .<SPLIT>,Charles n. caputo,leonard l. <mask> is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was <mask> in butler to michael and angela pitullio martino .<SPLIT>,0.2440924048423767,0.7107487916946411,4,8689,4,122,Successful
5,Salome jens,"salome jens (born may 8 , 1935) is an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",Annie parisse,"salome <mask> (born may 8 , <mask>) is an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",0.02005791664123535,0.9634104371070862,5,5329,5,122,Successful
6,Carl crawford,"carl demonte crawford (born august 5 , 1981) , nicknamed `` the perfect storm '' , is an american professional baseball left fielder with the los angeles dodgers of major league baseball (mlb) .<SPLIT>he bats and throws left-handed .<SPLIT>crawford was drafted by the tampa bay devil rays in the second round (52nd overall) of the 1999 major league baseball draft .<SPLIT>he made his major league debut in 2002 .<SPLIT>crawford has more triples (121) than any other active baseball player .<SPLIT>",Josh hamilton,"<mask> <mask> <mask> (born august 5 , 1981) , nicknamed `` the perfect storm '' , is an american professional baseball left <mask> with the <mask> <mask> <mask> of major league baseball (mlb) .<SPLIT>he bats and throws <mask> .<SPLIT><mask> was drafted by the tampa <mask> devil <mask> in the second round (52nd overall) of the 1999 major league baseball draft .<SPLIT>he made his major league debut in 2002 .<SPLIT><mask> has more triples (121) than any other active baseball player .<SPLIT>",0.0049211978912353516,0.7578548789024353,6,9080,6,3112,Successful
7,Jim bob,"jim bob (born james neil morrison on 22 november 1960) is a british musician and author , best known as the singer of indie punk band carter usm .<SPLIT>",Angry anderson,"jim <mask> (born james neil morrison on 22 november <mask>) is a british musician and author , best known as the singer of indie punk band carter usm .<SPLIT>",0.6757029294967651,0.9578453302383423,7,7311,7,132,Successful
8,Riddick parker,"riddick parker (born november 20 , 1972 in emporia , virginia) is a former professional american football defensive lineman for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",Bernard holsey,"<mask> <mask> (born november 20 , 1972 in emporia , <mask>) is a former professional american football defensive lineman for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",0.0365680456161499,0.9523023962974548,8,12052,8,331,Successful
9,Blessed osanna of cattaro -lrb- ozana kotorska -rrb-,blessed osanna of cattaro t.o.s.d. (-rrb- was a catholic visionary and anchoress from cattaro (kotor) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from montenegro (zeta) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,"Saint marianne cope , o.s.f.",blessed <mask> of cattaro t.o.s.d. (-rrb- was a catholic visionary and anchoress from cattaro (kotor) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from montenegro (zeta) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,0.3236197233200073,0.8167120218276978,9,3088,9,52,Successful
