,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Michael iii of alexandria,"pope michael iii of alexandria (also known as khail iii) was the coptic pope of alexandria and patriarch of the see of st. mark (880 -- 907) .<SPLIT>in 882 , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",Tahir ibn husayn,"<mask> <mask> <mask> <mask> <mask> (also known as khail <mask>) was the <mask> <mask> of <mask> and <mask> <mask> the <mask> <mask> <mask>. <mask> (880 -- 907) .<SPLIT><mask> 882 , the governor of <mask> , <mask> <mask> tulun , <mask> khail to <mask> heavy contributions , forcing him to sell a <mask> and some attached properties to the local <mask> community .<SPLIT>this building was at one time believed to have later become the site of the <mask> <mask> .<SPLIT>",0.3989261984825134,0.9995187520980835,0,12786,0,5882,Successful
1,Hui jun,hui jun is a male former table tennis player from china .<SPLIT>,Dirk müller -lrb- racing driver -rrb-,<mask> <mask> is a <mask> <mask> <mask> <mask> <mask> from <mask> .<SPLIT>,0.38528972864151,0.9991592764854431,1,601,1,208,Successful
2,Okan öztürk,okan Öztürk (born 30 november 1977) is a turkish professional footballer .<SPLIT>he currently plays as a striker for yeni malatyaspor .<SPLIT>,Koji hachisuka,<mask> <mask> (born 30 november <mask>) is a <mask> professional footballer .<SPLIT>he currently plays as <mask> <mask> for yeni <mask> .<SPLIT>,0.08415138721466064,0.9992758631706238,2,4650,2,417,Successful
3,Marie stephan,"marie stephan , (born march 14 , 1996) is a professional squash player who represents france .<SPLIT>she reached a career-high world ranking of world no. 101 in july 2015 .<SPLIT>",Brad jacobs,"<mask> <mask> , (<mask> <mask> <mask> , <mask>) <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> .<SPLIT><mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask>. <mask> <mask> <mask> <mask> .<SPLIT>",0.03826117515563965,0.9891300201416016,3,1375,3,1432,Failed
4,Leonard l. martino,leonard l. martino is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was born in butler to michael and angela pitullio martino .<SPLIT>,Bernard r. novak,<mask> <mask>. <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> .<SPLIT><mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> .<SPLIT>,0.2440924048423767,0.9835832715034485,4,8410,4,1226,Failed
5,Salome jens,"salome jens (born may 8 , 1935) is an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",Hayden schlossberg,"<mask> <mask> (born may <mask> , <mask>) <mask> <mask> <mask> <mask> , <mask> <mask> <mask> <mask> .<SPLIT><mask> <mask> <mask> <mask> <mask> <mask> <mask> the <mask> changeling <mask> '' '' .<SPLIT>",0.02005791664123535,0.9984054565429688,5,2300,5,1186,Successful
6,Carl crawford,"carl demonte crawford (born august 5 , 1981) , nicknamed `` the perfect storm '' , is an american professional baseball left fielder with the los angeles dodgers of major league baseball (mlb) .<SPLIT>he bats and throws left-handed .<SPLIT>crawford was drafted by the tampa bay devil rays in the second round (52nd overall) of the 1999 major league baseball draft .<SPLIT>he made his major league debut in 2002 .<SPLIT>crawford has more triples (121) than any other active baseball player .<SPLIT>",Lonnie chisenhall,"<mask> <mask> <mask> (<mask> <mask> <mask> , <mask>) , <mask> <mask> <mask> <mask> <mask> '' , <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> (<mask>) .<SPLIT><mask> <mask> <mask> <mask> <mask> .<SPLIT><mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> (<mask> <mask>) <mask> <mask> <mask> <mask> <mask> <mask> <mask> .<SPLIT><mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> .<SPLIT><mask> <mask> <mask> <mask> (<mask>) <mask> <mask> <mask> <mask> <mask> <mask> .<SPLIT>",0.0049211978912353516,0.9883478283882141,6,5188,6,11176,Failed
7,Jim bob,"jim bob (born james neil morrison on 22 november 1960) is a british musician and author , best known as the singer of indie punk band carter usm .<SPLIT>",Ken macleod,"<mask> <mask> (born <mask> neil morrison on 22 november <mask>) is a <mask> <mask> <mask> author , <mask> known as the <mask> of <mask> <mask> <mask> carter <mask> .<SPLIT>",0.6757029294967651,0.999474287033081,7,3337,7,1012,Successful
8,Riddick parker,"riddick parker (born november 20 , 1972 in emporia , virginia) is a former professional american football defensive lineman for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",Stanley blair,"<mask> <mask> (<mask> <mask> <mask> , <mask> <mask> emporia , <mask>) <mask> <mask> former <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> <mask> , <mask> <mask> <mask> , <mask> <mask> <mask> , <mask> <mask> , and <mask> <mask> <mask> of the <mask> <mask> <mask> .<SPLIT>",0.0365680456161499,0.9985458254814148,8,11752,8,2791,Successful
9,Blessed osanna of cattaro -lrb- ozana kotorska -rrb-,blessed osanna of cattaro t.o.s.d. (-rrb- was a catholic visionary and anchoress from cattaro (kotor) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from montenegro (zeta) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,Blessed anna maria rubatto,<mask> <mask> <mask> cattaro t.o.s.d. (-rrb- was a <mask> <mask> <mask> anchoress from <mask> (<mask>) .<SPLIT>she was a teenage <mask> from <mask> of <mask> descent from <mask> (<mask>) .<SPLIT>she became a dominican tertiary and was posthumously <mask> as a <mask> in <mask> .<SPLIT>she was later <mask> in 1934 .<SPLIT>,0.3236197233200073,0.9996207356452942,9,3107,9,2772,Successful
