,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Michael iii of alexandria,"pope michael iii of alexandria ( also known as khail iii ) was the coptic pope of alexandria and patriarch of the see of st. mark ( 880 -- 907 ) .<SPLIT>in 882 , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",Michael iv of alexandria,"pope michael <mask> <mask> alexandria ( also known as khail <mask> ) was the coptic pope of alexandria and patriarch <mask> the see of st. mark ( <mask> -- <mask> ) .<SPLIT>in <mask> , the governor of egypt , ahmad ibn tulun , forced khail to pay heavy contributions , forcing him to sell a church and some attached properties to the local jewish community .<SPLIT>this building was at one time believed to have later become the site of the cairo geniza .<SPLIT>",0.0016505718231201172,0.5253753662109375,0,12300,0,1742,Successful
1,Hui jun,hui jun is a male former table tennis player from china .<SPLIT>,Janine thompson,<mask> <mask> <mask> <mask> <mask> former <mask> tennis player <mask> <mask> .<SPLIT>,0.0002041459083557129,0.8481892347335815,1,8138,1,208,Successful
2,Okan öztürk,okan Öztürk ( born 30 november 1977 ) is a turkish professional footballer .<SPLIT>he currently plays as a striker for yeni malatyaspor .<SPLIT>,Diego morales,<mask> <mask> ( born 30 november <mask> ) is <mask> <mask> professional footballer .<SPLIT>he currently plays as a striker for <mask> <mask> .<SPLIT>,0.0006035566329956055,0.9528981447219849,2,9993,2,417,Successful
3,Marie stephan,"marie stephan , ( born march 14 , 1996 ) is a professional squash player who represents france .<SPLIT>she reached a career-high world ranking of world no. 101 in july 2015 .<SPLIT>",Laura pomportes,"<mask> <mask> , ( born <mask> 14 , <mask> ) is a professional squash player who represents <mask> .<SPLIT>she reached a career-high world ranking of world no. 101 in july <mask> .<SPLIT>",0.0006879568099975586,0.8435959815979004,3,4726,3,508,Successful
4,Leonard l. martino,leonard l. martino is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was born in butler to michael and angela pitullio martino .<SPLIT>,Charles n. caputo,<mask> <mask>. <mask> is a former democratic member of the pennsylvania house of representatives .<SPLIT>he was <mask> in butler to michael and angela pitullio martino .<SPLIT>,0.0005345940589904785,0.8208995461463928,4,8689,4,302,Successful
5,Salome jens,"salome jens ( born may 8 , 1935 ) is an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",Kevin pike,"<mask> <mask> ( born may 8 , <mask> ) is an american stage , film and television actress .<SPLIT>she is perhaps best known for portraying the female changeling on '' '' .<SPLIT>",0.0004935264587402344,0.777034342288971,5,9038,5,214,Successful
6,Carl crawford,"carl demonte crawford ( born august 5 , 1981 ) , nicknamed `` the perfect storm '' , is an american professional baseball left fielder with the los angeles dodgers of major league baseball ( mlb ) .<SPLIT>he bats and throws left-handed .<SPLIT>crawford was drafted by the tampa bay devil rays in the second round ( 52nd overall ) of the 1999 major league baseball draft .<SPLIT>he made his major league debut in 2002 .<SPLIT>crawford has more triples ( 121 ) than any other active baseball player .<SPLIT>",Joel peralta,"<mask> demonte <mask> ( <mask> <mask> <mask> , <mask> ) , nicknamed `` the <mask> <mask> '' , <mask> <mask> <mask> <mask> baseball <mask> <mask> <mask> <mask> los angeles <mask> <mask> <mask> league <mask> ( <mask> ) .<SPLIT>he bats <mask> <mask> <mask> .<SPLIT><mask> <mask> <mask> <mask> the tampa bay devil rays in <mask> <mask> <mask> ( 52nd overall ) <mask> the 1999 major league baseball draft .<SPLIT>he made his major <mask> <mask> <mask> 2002 .<SPLIT><mask> <mask> <mask> <mask> ( 121 ) than any other active baseball player .<SPLIT>",0.00022655725479125977,0.5701848268508911,6,6092,6,8512,Successful
7,Jim bob,"jim bob ( born james neil morrison on 22 november 1960 ) is a british musician and author , best known as the singer of indie punk band carter usm .<SPLIT>",Norman blake -lrb- scottish musician -rrb-,"<mask> <mask> ( born <mask> neil morrison on <mask> <mask> <mask> ) is a <mask> musician and author , best known as the singer of indie punk band carter usm .<SPLIT>",0.0032311677932739258,0.8841022849082947,7,4677,7,592,Successful
8,Riddick parker,"riddick parker ( born november 20 , 1972 in emporia , virginia ) is a former professional american football defensive lineman for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",Jerry patton,"<mask> <mask> ( born <mask> <mask> , <mask> in emporia , <mask> ) is a former professional american football defensive lineman for the seattle seahawks , san diego chargers , new england patriots , baltimore ravens , and san francisco 49ers of the national football league .<SPLIT>",0.0015621781349182129,0.8925139307975769,8,8498,8,739,Successful
9,Blessed osanna of cattaro -lrb- ozana kotorska -rrb-,blessed osanna of cattaro t.o.s.d. ( ) was a catholic visionary and anchoress from cattaro ( kotor ) .<SPLIT>she was a teenage convert from orthodoxy of serbian descent from montenegro ( zeta ) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,Blessed anna maria rubatto,blessed <mask> <mask> <mask> t.o.s.d. ( ) was a catholic visionary and anchoress from <mask> ( kotor ) .<SPLIT>she was a teenage convert from orthodoxy of <mask> <mask> <mask> <mask> ( <mask> ) .<SPLIT>she became a dominican tertiary and was posthumously venerated as a saint in kotor .<SPLIT>she was later beatified in 1934 .<SPLIT>,0.0009223222732543945,0.894067108631134,9,3107,9,1507,Successful
10,Thaila ayala,"thaila ayala sales ( born april 14 , 1986 in presidente prudente ) is a brazilian actress and model .<SPLIT>",Victor josé pozzo,"<mask> <mask> <mask> ( born <mask> <mask> , <mask> in presidente <mask> ) is a brazilian <mask> <mask> <mask> .<SPLIT>",0.0001925826072692871,0.88362056016922,10,1179,10,413,Successful
11,Sven leuenberger,"sven leuenberger ( born august 25 , 1969 in niederuzwil , switzerland ) is a retired swiss professional ice hockey defender .<SPLIT>playing in the nla-a , leuenberger accumulated 74 goals , 173 assists , and 443 penalty minutes in the regular season .<SPLIT>since the nla 2006 season , leuenberger has been the general manager ( sports director ) of the sc bern .<SPLIT>on august 1 , 2008 sc bern 's coach suffered , john van boxmeer , a heart attack side-lining him for a month .<SPLIT>during van boxmeer 's absence , general manager sven leuenberger coached the team along with assistant coach konstantin kurashev -lsb- http://www.iihf.com/home-of-hockey/news/news-singleview/article/van-boxmeer-suffers-heart-attack/leuenberger.html] .<SPLIT>",Patrick aebischer,"<mask> <mask> ( born <mask> <mask> , <mask> in <mask> , switzerland ) is a retired swiss professional ice hockey <mask> .<SPLIT>playing <mask> the nla-a , <mask> accumulated 74 goals , 173 assists , and 443 penalty minutes <mask> the <mask> <mask> .<SPLIT>since the nla 2006 season , <mask> has been the general manager ( sports director ) of the sc <mask> .<SPLIT>on august 1 , 2008 sc bern 's coach suffered , john van boxmeer , a heart attack side-lining him for a month .<SPLIT>during van boxmeer 's absence , general manager sven leuenberger coached the team along with assistant coach konstantin kurashev -lsb- http://www.iihf.com/home-of-hockey/news/news-singleview/article/van-boxmeer-suffers-heart-attack/leuenberger.html] .<SPLIT>",0.0008659958839416504,0.8964605927467346,11,5321,11,5043,Successful
12,Brett scott,"brett scott ( born 10 april 1962 ) is a former australian rules footballer who played with the sydney football club in the victorian football league during the 1980s .<SPLIT>scott played his early football with the rock-yerong creek before being recruited to south melbourne and making his league debut in 1981 .<SPLIT>the following year the club relocated to sydney and he took part in the inaugural game for their new city .<SPLIT>injuries restricted his appearances over the years and when he finished in 1989 he had managed just 59 senior games .<SPLIT>after gary buckenara was sacked as sydney 's coach in 1993 , scott acted as a caretaker coach for two games .<SPLIT>",John ironmonger,"<mask> <mask> ( born <mask> <mask> <mask> ) is a former australian rules footballer who played with the <mask> football club in the victorian football league during <mask> 1980s .<SPLIT><mask> played his early football with the <mask> <mask> before being recruited to <mask> melbourne and making his league debut in 1981 .<SPLIT>the following year the club relocated to sydney and he took part in the inaugural game for their new city .<SPLIT>injuries restricted his appearances over the years and when he finished in 1989 he had managed just 59 senior games .<SPLIT>after gary buckenara was sacked as sydney 's coach in 1993 , scott acted as a caretaker coach for two games .<SPLIT>",0.0007156729698181152,0.8192760944366455,12,14315,12,4250,Successful
13,Marlon evans,marlon evans ( born 3 august 1997 ) is a guamanian international footballer who plays for wings in the guam men 's soccer league<SPLIT>,Mohamed umair,<mask> <mask> ( born 3 <mask> <mask> ) is a <mask> <mask> footballer who plays for <mask> in <mask> <mask> <mask> 's soccer league<SPLIT>,0.0010221004486083984,0.8137652277946472,13,3287,13,635,Successful
