,original_person,original_text,perturbed_person,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Lenny randle,"leonard shenoff [MASK] ( born february 12, 1949 ) is a former major league baseball player. he was the first - round pick of the washington senators in the secondary phase of the june 1970 major league baseball draft, tenth overall.",Denny riddleberger,"[MASK] shenoff [MASK] ( born [MASK] 12, [MASK] ) is a former major league baseball player. he was the first - round pick of the washington senators in the secondary [MASK] of the june 1970 major league baseball draft, tenth overall.",-14.640609741210938,-8.758600234985352,0,90307,0,115,Successful
1,Philippe adnot,"[MASK] [MASK] ( born 25 august 1945 in rhges ) is a member of the senate of [MASK]. he was first elected in 1989, and represents the [MASK] department. a farmer by profession, he serves as an independent, and also serves as the head of the [MASK] [MASK] of [MASK], to which he was elected to represent the [MASK] of [MASK] in 1980. in 1998 and 2008, he was re - elected to the [MASK] in the first round, avoiding the need for a run - off vote. having contributed to the creation of the",Jean defraigne,"[MASK] [MASK] ( born 25 [MASK] [MASK] in rhges ) is a member of the [MASK] of [MASK]. he was first elected in 1989, and represents the [MASK] department. a farmer by profession, he serves as an independent, and also serves as the head of the [MASK] [MASK] of [MASK], to which he was elected to represent the [MASK] of [MASK] in 1980. in 1998 and 2008, he was re - elected to the [MASK] in the first round, avoiding the need for a run - off vote. having contributed to the creation of the",-11.514351844787598,-7.132724761962891,1,135213,1,136,Successful
2,Miroslav popov,[MASK] [MASK] ( born 14 june 1995 in dvr krlov nad [MASK] ) is a [MASK] grand prix motorcycle racer. he currently races in the fim cev moto2 championship for montaze broz racing team aboard a suter.,Jordi carchano,[MASK] [MASK] ( born [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] ) is a [MASK] grand prix motorcycle racer. he [MASK] races [MASK] the [MASK] [MASK] [MASK] championship for [MASK] [MASK] racing team [MASK] a suter.,-16.05674934387207,-9.64596176147461,2,132875,2,316,Successful
3,Jack reynolds,"john ` ` [MASK]'' [MASK] ( 21 february 1869 - - 12 march 1917 ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic. as an international he played five times for ireland before it emerged that he was actually english and he subsequently played eight times for england. he is the only player, barring own goals, to score for and against england and is the only player to play for both ireland and england. he won the fa cup with west brom",Joe reader,"[MASK] ` ` [MASK]'' [MASK] ( 21 [MASK] [MASK] - - 12 march [MASK] ) was a footballer who played for, among others, west bromwich albion, aston villa and celtic. as an international he played five times for [MASK] before it emerged that he was actually english and he subsequently played eight times for england. he is the only player, barring own goals, to score for and against england and is the only player to play for both [MASK] and england. he won the fa cup with west brom",-15.577648162841797,-10.563644409179688,3,48005,3,266,Successful
4,Akoo nana,"william ato [MASK], ( born 7th july 1979 ) better known by his stage name [MASK] [MASK] is a [MASK] musician from ghana. since 2009, he has been making a large impact in africa's [MASK] scene through his authentic sounding music and captivating stage craft.",Conor j curran,"[MASK] [MASK] [MASK], ( [MASK] 7th [MASK] [MASK] ) better known by his [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] musician from [MASK]. [MASK] [MASK], he has been [MASK] [MASK] large impact in [MASK] [MASK] scene through his [MASK] sounding music and captivating [MASK] [MASK].",-18.41425323486328,-9.202284812927246,4,18156,4,441,Successful
5,Teoctist,"[MASK] (, born toader arpau ; february 7, 1915 - - july 30, 2007 ) was the [MASK] of the [MASK] [MASK] church from 1986 to 2007. [MASK] served his first years as [MASK] under the [MASK] communist regime, and was accused by some of collaboration. he offered his resignation after the [MASK] revolution of 1989, but was soon restored to office and served a further 17 years. a promoter of ecumenical dialogue, [MASK] [MASK] invited pope john paul ii to visit [MASK] in 1999. it",Samdech son sann,"[MASK] (, born toader [MASK] ; [MASK] 7, [MASK] - - [MASK] 30, [MASK] ) was the [MASK] [MASK] the [MASK] [MASK] [MASK] from [MASK] to [MASK]. [MASK] served his first [MASK] as [MASK] under the [MASK] communist [MASK], and was accused by some [MASK] collaboration. he offered his resignation after the [MASK] revolution [MASK] 1989, but was soon restored to office and served a further 17 [MASK]. a [MASK] [MASK] [MASK] dialogue, [MASK] [MASK] invited [MASK] john [MASK] ii to visit [MASK] in [MASK]. it",-15.699396133422852,-7.756383895874023,5,40597,5,706,Successful
6,Dillon sheppard,[MASK] [MASK] ( born 27 february 1979 ) is a south african football ( soccer ) left - winger who plays for premier soccer league club bidvest wits and south africa.,Andrew nabbout,[MASK] [MASK] ( [MASK] 27 [MASK] [MASK] ) [MASK] a [MASK] [MASK] [MASK] ( [MASK] ) [MASK] - winger who [MASK] for premier [MASK] league club [MASK] [MASK] and [MASK] [MASK].,-16.43050765991211,-7.383152008056641,6,53593,6,209,Successful
7,Giuliana zevallos,"[MASK] [MASK] [MASK] ( born in lima, [MASK] ) is a beauty queen who was crowned [MASK] [MASK] [MASK] 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country. prior to winning [MASK] [MASK] [MASK], she was [MASK] [MASK] per 2008 and [MASK] per 2010, and represented her country in both [MASK] [MASK] 2008 and [MASK] universe 2010. on february 9, 2012, [MASK] was designated as the new [MASK] per world. she represented her country in the [MASK]",Kelsi crain,"[MASK] [MASK] [MASK] ( born [MASK] [MASK], [MASK] ) is a beauty queen who was crowned [MASK] [MASK] [MASK] 2010 on september 18, 2010, becoming that pageant's very first titleholder from her country. prior to winning [MASK] [MASK] [MASK], she was [MASK] [MASK] [MASK] 2008 and [MASK] [MASK] 2010, and represented her country [MASK] both [MASK] [MASK] 2008 and [MASK] universe 2010. on february 9, 2012, [MASK] was designated as the new [MASK] [MASK] world. she represented her country [MASK] the [MASK]",-14.945390701293945,-8.893360137939453,7,81845,7,121,Successful
8,Renato campos,"[MASK] [MASK] ( born september 5, 1980 ) is a retired angolan football player. he has played for [MASK] national team.",Kazuo imanishi,"[MASK] [MASK] ( born [MASK] 5, [MASK] ) is a retired [MASK] football player. he has played for [MASK] national team.",-17.93011474609375,-10.367977142333984,8,120780,8,46,Successful
9,Sir william laird clowes,"sir [MASK] [MASK] [MASK] ( 1 february [MASK] - - 14 august 1905 ) was a british journalist and [MASK] whose principal work was ` ` the royal navy, a history from the earliest times to 1900'', a text that is still in print. he also wrote numerous technical pieces on naval technology and strategy and was also noted for his articles concerning racial politics in the southern united states. despite having trained as a lawyer, [MASK] had always preferred literature and writing, publishing his first work in 1876 and becoming a full - time journalist in 1879. for the services rendered",William thomas stead,"sir [MASK] [MASK] [MASK] ( 1 [MASK] [MASK] - - 14 [MASK] [MASK] ) was a british [MASK] and [MASK] whose principal work was ` ` the royal navy, a [MASK] from the earliest times to 1900'', a text that is still in print. he also wrote numerous technical pieces on naval technology and strategy and was also noted for his [MASK] concerning [MASK] [MASK] in the southern united states. despite having trained as a lawyer, [MASK] had always preferred [MASK] and [MASK], publishing his first work in 1876 and becoming a full - time [MASK] in 1879. for the services rendered",-17.934926986694336,-9.864554405212402,9,42328,9,636,Successful
